CryoSleep,VIP,Transported,TotalSpent,Earth,Europa,Mars,55 Cancri e,PSO J318.5-22,TRAPPIST-1e,P,S
0,0,0,1226,0,0,1,0,0,1,0,1
0,0,1,691,0,1,0,0,0,1,1,0
1,0,0,0,1,0,0,0,0,1,1,0
0,0,1,660,1,0,0,1,0,0,0,1
0,0,0,1686,0,0,1,0,0,1,1,0
0,0,0,143,1,0,0,0,0,1,0,1
0,0,0,615,1,0,0,0,1,0,1,0
1,1,1,0,0,1,0,1,0,0,0,1
0,0,0,59,1,0,0,0,1,0,1,0
0,0,0,1150,1,0,0,0,0,1,0,1
0,0,0,479,1,0,0,1,0,0,1,0
0,0,1,10,1,0,0,1,0,0,0,1
0,0,1,0,1,0,0,0,0,1,1,0
0,0,0,995,0,0,1,0,0,1,0,1
1,0,1,0,0,1,0,1,0,0,1,0
1,0,0,0,1,0,0,0,0,1,1,0
0,0,0,0,1,0,0,1,0,0,1,0
1,0,1,0,0,1,0,0,0,1,1,0
0,0,0,2000,0,1,0,0,0,1,1,0
1,0,1,0,1,0,0,0,0,1,1,0
1,0,1,0,1,0,0,1,0,0,0,1
0,0,0,0,0,0,1,0,0,1,1,0
1,0,1,0,0,0,1,0,0,1,0,1
1,0,1,0,1,0,0,0,1,0,1,0
0,0,1,344,1,0,0,1,0,0,0,1
0,0,1,179,0,1,0,1,0,0,1,0
0,0,0,755,1,0,0,0,0,1,1,0
0,0,0,0,0,1,0,0,0,1,1,0
1,0,1,0,0,0,1,0,0,1,1,0
1,0,0,0,1,0,0,0,0,1,1,0
1,0,0,0,0,0,1,0,0,1,1,0
1,0,0,0,1,0,0,1,0,0,0,1
0,0,1,0,1,0,0,1,0,0,1,0
1,0,1,0,1,0,0,1,0,0,1,0
1,0,1,0,1,0,0,0,0,1,0,1
0,0,0,804,1,0,0,0,0,1,1,0
1,0,0,0,1,0,0,1,0,0,0,1
0,0,1,0,1,0,0,0,0,1,0,1
0,0,1,642,1,0,0,1,0,0,1,0
0,0,0,788,1,0,0,0,0,1,0,1
0,0,0,1974,0,1,0,0,0,1,0,1
1,0,1,0,0,1,0,1,0,0,0,1
0,0,0,5101,0,1,0,0,0,1,1,0
0,0,0,837,1,0,0,0,0,1,1,0
1,0,1,0,1,0,0,0,1,0,1,0
1,0,1,0,0,1,0,1,0,0,1,0
0,0,0,19,1,0,0,0,0,1,1,0
1,0,1,0,0,1,0,0,0,1,0,1
0,0,0,0,1,0,0,1,0,0,0,1
0,0,0,0,1,0,0,0,0,1,1,0
0,0,0,685,1,0,0,0,1,0,0,1
1,0,1,0,0,1,0,0,0,1,1,0
0,0,0,717,1,0,0,0,0,1,1,0
0,0,1,1576,0,1,0,0,0,1,1,0
0,0,0,765,1,0,0,0,0,1,0,1
0,0,1,1170,0,1,0,1,0,0,0,1
0,0,1,0,1,0,0,1,0,0,1,0
0,0,0,122,1,0,0,0,0,1,1,0
1,0,1,0,1,0,0,0,1,0,1,0
0,0,0,3217,0,1,0,1,0,0,1,0
0,0,0,1051,1,0,0,0,0,1,1,0
0,0,0,2255,0,0,1,0,0,1,1,0
0,0,0,1735,0,0,1,1,0,0,1,0
0,0,0,519,1,0,0,0,0,1,1,0
0,0,0,0,1,0,0,0,0,1,0,1
0,0,0,848,1,0,0,0,0,1,0,1
0,0,0,0,1,0,0,0,0,1,1,0
1,0,1,0,0,1,0,1,0,0,0,1
0,0,1,351,0,1,0,0,0,1,0,1
0,0,0,7,1,0,0,0,0,1,0,1
0,1,0,2232,0,1,0,0,0,1,1,0
0,0,0,900,1,0,0,0,0,1,0,1
0,0,1,1375,1,0,0,0,0,1,0,1
0,0,1,230,1,0,0,0,1,0,0,1
0,0,0,441,0,1,0,0,0,1,1,0
1,0,1,0,1,0,0,0,0,1,1,0
1,0,1,0,1,0,0,0,0,1,1,0
0,0,1,391,1,0,0,0,0,1,0,1
0,0,0,1381,1,0,0,0,1,0,0,1
0,0,1,1213,0,1,0,1,0,0,0,1
0,0,0,41,0,1,0,0,0,1,1,0
0,0,0,1175,1,0,0,0,0,1,1,0
1,0,1,0,0,0,1,1,0,0,1,0
0,0,0,48,1,0,0,0,0,1,0,1
0,0,0,3281,0,0,1,0,0,1,1,0
0,0,0,784,1,0,0,0,0,1,0,1
0,0,1,17,1,0,0,0,0,1,0,1
0,1,1,1300,0,1,0,0,0,1,0,1
0,0,0,634,1,0,0,0,0,1,1,0
0,1,0,2895,0,1,0,1,0,0,1,0
1,0,1,0,0,0,1,0,0,1,0,1
1,0,1,0,1,0,0,0,0,1,0,1
1,0,1,0,1,0,0,0,0,1,0,1
0,0,0,980,1,0,0,0,0,1,0,1
1,0,1,0,1,0,0,0,1,0,1,0
0,0,0,0,0,0,1,0,1,0,1,0
0,0,0,7132,0,1,0,1,0,0,0,1
0,0,0,2395,0,0,1,0,0,1,1,0
1,0,0,0,1,0,0,0,0,1,1,0
0,0,1,0,1,0,0,1,0,0,1,0
0,0,0,865,1,0,0,0,0,1,1,0
0,0,1,452,1,0,0,0,1,0,0,1
0,0,0,508,1,0,0,1,0,0,1,0
0,0,0,599,1,0,0,0,0,1,1,0
0,0,0,3482,0,0,1,0,0,1,0,1
0,0,0,1092,1,0,0,0,0,1,0,1
1,0,1,0,1,0,0,0,1,0,0,1
1,0,1,0,0,1,0,0,0,1,1,0
0,0,0,888,1,0,0,0,0,1,1,0
0,0,1,549,1,0,0,0,0,1,0,1
0,0,1,122,1,0,0,0,0,1,0,1
1,0,1,0,0,0,1,1,0,0,0,1
0,0,0,70,1,0,0,0,0,1,0,1
1,0,1,0,0,0,1,0,0,1,1,0
0,0,0,1119,1,0,0,1,0,0,0,1
0,0,0,562,1,0,0,0,0,1,0,1
0,0,0,906,1,0,0,0,0,1,1,0
0,0,1,0,1,0,0,0,0,1,0,1
0,0,1,0,1,0,0,0,0,1,1,0
0,0,0,6339,0,1,0,1,0,0,0,1
1,0,1,0,0,1,0,1,0,0,0,1
0,0,0,880,1,0,0,1,0,0,0,1
0,0,0,889,1,0,0,0,0,1,1,0
0,0,0,695,1,0,0,1,0,0,0,1
1,0,1,0,0,1,0,0,0,1,1,0
0,0,1,676,1,0,0,0,1,0,1,0
1,0,1,0,0,1,0,1,0,0,0,1
0,0,0,1946,0,0,1,0,0,1,1,0
1,0,1,0,0,0,1,0,0,1,0,1
1,0,1,0,0,1,0,1,0,0,1,0
0,1,1,1263,0,1,0,1,0,0,0,1
0,0,1,2350,0,0,1,1,0,0,1,0
1,0,0,0,1,0,0,0,0,1,1,0
0,0,0,1808,1,0,0,0,0,1,0,1
0,0,0,1444,1,0,0,0,0,1,0,1
1,0,1,0,0,0,1,0,0,1,1,0
1,0,1,0,0,1,0,0,1,0,0,1
1,0,0,0,1,0,0,0,0,1,1,0
0,0,0,0,0,0,1,0,0,1,0,1
0,0,0,0,0,0,1,0,0,1,0,1
0,0,1,691,0,1,0,1,0,0,1,0
0,0,0,21,1,0,0,1,0,0,1,0
0,0,1,17,0,0,1,0,1,0,0,1
0,0,0,0,1,0,0,0,0,1,0,1
0,0,0,1362,1,0,0,0,0,1,1,0
0,0,0,499,1,0,0,0,1,0,0,1
1,0,1,0,0,1,0,1,0,0,0,1
